budget,genre,id,original_language,popularity,revenue,runtime,title,vote_average,vote_count,Main_Actor,Popularity_Actor,Main_Actress,Popularity_Actress,Director,Popularity_Director,release_year,release_month,release_day
200000000,Action,634649,en,379.214,1921847111,148,Spider-Man: No Way Home,7.986,18526,Tom Holland,62.106,Zendaya,44.092,Jon Watts,6.932,2021,12,15
10000000,Drama,1058694,en,332.273,13000000,127,Radical,7.273,11,Eugenio Derbez,14.602,,,Christopher Zalla,2.744,2023,10,19
294700000,Adventure,335977,en,323.428,383922132,155,Indiana Jones and the Dial of Destiny,6.7,2062,Harrison Ford,59.531,Phoebe Waller-Bridge,16.023,James Mangold,11.568,2023,6,28
297000000,Adventure,447277,en,305.093,569244557,135,The Little Mermaid,6.481,2364,Jonah Hauer-King,20.284,Halle Bailey,16.744,Rob Marshall,9.419,2023,5,18
125000000,Science Fiction,131631,en,304.429,755356711,123,The Hunger Games: Mockingjay - Part 1,6.801,14860,Josh Hutcherson,128.918,Jennifer Lawrence,45.257,Francis Lawrence,19.444,2014,11,19
250000000,Science Fiction,447365,en,304.13,845430302,150,Guardians of the Galaxy Vol. 3,8.008,5317,Chris Pratt,80.937,Zoe Saldaña,84.656,James Gunn,16.03,2023,5,3
90000000,Adventure,315162,en,301.739,482129780,103,Puss in Boots: The Last Wish,8.262,6625,Antonio Banderas,36.299,Salma Hayek Pinault,23.714,Joel Crawford,7.483,2022,12,7
300000000,Adventure,299536,en,292.957,2052415039,149,Avengers: Infinity War,8.252,27970,Robert Downey Jr.,46.048,Scarlett Johansson,61.259,Anthony Russo,6.694,2018,4,25
175000000,Family,354912,en,263.78,800526015,105,Coco,8.217,18180,Anthony Gonzalez,3.795,Alanna Ubach,15.39,Lee Unkrich,6.863,2017,10,27
200000000,Crime,466420,en,237.69,138034507,206,Killers of the Flower Moon,7.717,966,Leonardo DiCaprio,42.545,Lily Gladstone,14.873,Martin Scorsese,28.637,2023,10,18
36150000,Action,872906,hi,237.499,136698671,169,Jawan,7.1,109,Shah Rukh Khan,34.243,Nayanthara,27.784,Atlee,3.175,2023,9,7
15000,Horror,994143,en,228.862,2100000,100,Skinamarink,5.646,182,Lucas Paul,1.566,Dali Rose Tetreault,1.4,Kyle Edward Ball,6.597,2023,1,13
45000000,Thriller,635910,en,227.573,21576744,119,The Last Voyage of the Demeter,7.171,917,Corey Hawkins,12.929,Aisling Franciosi,19.014,André Øvredal,2.854,2023,8,9
86000000,Animation,496450,fr,224.993,38955339,107,"Miraculous: Ladybug & Cat Noir, The Movie",7.764,659,Benjamin Bollen,15.57,Annouck Hautbois,8.753,Jeremy Zag,3.306,2023,7,5
70000000,Animation,1040148,en,223.555,43716515,91,"Ruby Gillman, Teenage Kraken",7.401,751,Sam Richardson,8.907,Lana Condor,13.633,Kirk DeMicco,3.261,2023,6,28
70000000,Action,536437,en,221.428,9464308,94,Hypnotic,6.457,727,Ben Affleck,19.855,Alice Braga,24.629,Robert Rodriguez,13.363,2023,5,11
125000000,Adventure,671,en,219.708,976475550,152,Harry Potter and the Philosopher's Stone,7.916,25618,Daniel Radcliffe,50.02,Emma Watson,40.737,Chris Columbus,16.603,2001,11,16
150000000,Adventure,674,en,217.326,895921036,157,Harry Potter and the Goblet of Fire,7.815,19455,Daniel Radcliffe,50.02,Emma Watson,40.737,Mike Newell,5.957,2005,11,16
50000000,Animation,8920,en,215.929,200804534,80,Garfield,5.7,3673,Bill Murray,28.378,Jennifer Love Hewitt,31.27,Peter Hewitt,3.419,2004,6,10
250000000,Action,505642,en,213.158,859102154,162,Black Panther: Wakanda Forever,7.169,5625,Winston Duke,9.782,Letitia Wright,15.388,Ryan Coogler,5.98,2022,11,9
